param,training_score,testing_score,precision_draw,precision_lose,precision_win,recall_draw,recall_lose,recall_win,f1_draw,f1_lose,f1_win,n_estimators
Serie-A_WilliamHill_alt_3_knn,0.9981129850218187,0.7026357686184327,0.63,0.7,0.75,0.63,0.71,0.75,0.63,0.7,0.75,5
Serie-A_WilliamHill_alt_3_nn,0.5647482,0.56571734,0.45,0.63,0.58,0.33,0.51,0.76,0.38,0.56,0.66,N/A
Serie-A_Bwin_ori_4_rf,1.0,0.4966442953020134,0.41,0.57,0.64,0.46,0.52,0.61,0.43,0.54,0.63,N/A
Serie-A_Bwin_ori_4_svm,0.5833333333333334,0.5704697986577181,0.46,0.6,0.6,0.3,0.55,0.77,0.37,0.57,0.67,N/A
Serie-A_Bwin_ori_4_knn,1.0,0.5436241610738255,0.45,0.53,0.6,0.38,0.59,0.63,0.41,0.56,0.61,5
Serie-A_Bwin_ori_4_nn,0.5587248,0.5486577,0.41,0.55,0.56,0.07,0.65,0.83,0.11,0.6,0.67,N/A
Serie-A_Bwin_ori_3_rf,0.9994407158836689,0.4748322147651007,0.4,0.57,0.64,0.48,0.51,0.6,0.44,0.54,0.62,N/A
Serie-A_Bwin_ori_3_svm,0.5794183445190156,0.5637583892617449,0.46,0.6,0.58,0.25,0.55,0.79,0.32,0.57,0.67,N/A
Serie-A_Bwin_ori_3_knn,1.0,0.5234899328859061,0.42,0.51,0.6,0.38,0.58,0.59,0.4,0.54,0.6,5
Serie-A_Bwin_ori_3_nn,0.58389264,0.5604027,0.45,0.58,0.59,0.25,0.58,0.77,0.32,0.58,0.66,N/A
Serie-A_Bwin_alt_4_rf,1.0,0.4421052631578947,0.35,0.61,0.61,0.51,0.46,0.53,0.41,0.53,0.57,N/A
Serie-A_Bwin_alt_4_svm,0.5644028103044496,0.5456140350877193,0.38,0.64,0.61,0.42,0.49,0.67,0.4,0.55,0.63,N/A
Serie-A_Bwin_alt_4_knn,1.0,0.5,0.39,0.48,0.59,0.38,0.51,0.57,0.39,0.5,0.58,5
Serie-A_Bwin_alt_4_nn,0.5708431,0.54385966,0.4,0.59,0.55,0.17,0.55,0.78,0.24,0.57,0.65,N/A
Serie-A_Bwin_alt_3_rf,1.0,0.4473684210526316,0.35,0.63,0.63,0.52,0.47,0.55,0.42,0.54,0.59,N/A
Serie-A_Bwin_alt_3_svm,0.5743559718969555,0.5543859649122806,0.4,0.64,0.58,0.33,0.49,0.74,0.36,0.55,0.65,N/A
Serie-A_Bwin_alt_3_knn,1.0,0.48771929824561405,0.37,0.48,0.57,0.36,0.5,0.57,0.36,0.49,0.57,5
Serie-A_Bwin_alt_3_nn,0.57552695,0.54035085,0.38,0.59,0.55,0.17,0.53,0.79,0.23,0.56,0.65,N/A
Serie-A_12Bet_ori_4_rf,0.9990595044311811,0.818359375,0.75,0.86,0.88,0.83,0.78,0.87,0.79,0.82,0.88,N/A
Serie-A_12Bet_ori_4_svm,0.5937059142702116,0.5877821180555556,0.45,0.6,0.62,0.27,0.5,0.83,0.34,0.54,0.71,N/A
Serie-A_12Bet_ori_4_knn,0.9992041960571532,0.8221571180555556,0.78,0.8,0.86,0.77,0.81,0.86,0.78,0.8,0.86,5
Serie-A_12Bet_ori_4_nn,0.5745343,0.5720486,0.4,0.59,0.62,0.29,0.45,0.81,0.34,0.51,0.7,N/A
Serie-A_12Bet_ori_3_rf,0.9976487610779526,0.7919921875,0.72,0.84,0.87,0.8,0.77,0.85,0.76,0.8,0.86,N/A
Serie-A_12Bet_ori_3_svm,0.5906673901247965,0.5853949652777778,0.44,0.6,0.62,0.26,0.49,0.84,0.32,0.54,0.71,N/A
Serie-A_12Bet_ori_3_knn,0.9976849339844457,0.8034939236111112,0.75,0.79,0.85,0.76,0.79,0.84,0.75,0.79,0.84,5
Serie-A_12Bet_ori_3_nn,0.58137095,0.5780165,0.42,0.59,0.63,0.32,0.44,0.82,0.36,0.5,0.71,N/A
Serie-A_12Bet_alt_4_rf,0.9989350763807285,0.8207755012117206,0.75,0.85,0.89,0.82,0.79,0.87,0.78,0.82,0.88,N/A
Serie-A_12Bet_alt_4_svm,0.5895637485311398,0.6051993831240361,0.46,0.62,0.64,0.3,0.53,0.83,0.36,0.57,0.72,N/A
Serie-A_12Bet_alt_4_knn,0.9990819623971798,0.8243005067195418,0.78,0.8,0.87,0.77,0.81,0.86,0.77,0.8,0.87,5
Serie-A_12Bet_alt_4_nn,0.5887191,0.6014541,0.45,0.61,0.65,0.32,0.51,0.82,0.37,0.56,0.72,N/A
Serie-A_12Bet_alt_3_rf,0.9972091656874266,0.795329367702137,0.72,0.83,0.87,0.79,0.77,0.86,0.75,0.8,0.86,N/A
Serie-A_12Bet_alt_3_svm,0.583394535840188,0.5971579643093192,0.44,0.62,0.64,0.31,0.5,0.82,0.36,0.55,0.72,N/A
Serie-A_12Bet_alt_3_knn,0.9973193301997649,0.8053536021150033,0.75,0.78,0.85,0.75,0.79,0.85,0.75,0.79,0.85,5
Serie-A_12Bet_alt_3_nn,0.5810444,0.59870017,0.45,0.61,0.64,0.31,0.5,0.83,0.36,0.55,0.72,N/A
LaLiga_Bet365_ori_4_rf,1.0,0.4495575221238938,0.4,0.57,0.66,0.6,0.38,0.58,0.48,0.46,0.62,N/A
LaLiga_Bet365_ori_4_svm,0.48568899380348185,0.4902654867256637,0.4,0.57,0.49,0.14,0.23,0.88,0.21,0.33,0.63,N/A
LaLiga_Bet365_ori_4_knn,1.0,0.5292035398230088,0.46,0.49,0.6,0.46,0.47,0.61,0.46,0.48,0.61,5
LaLiga_Bet365_ori_4_nn,0.4685748,0.48053098,0.36,0.47,0.5,0.11,0.3,0.84,0.17,0.37,0.62,N/A
LaLiga_Bet365_ori_3_rf,0.9991147831218649,0.48584070796460177,0.44,0.56,0.66,0.61,0.41,0.6,0.51,0.48,0.63,N/A
LaLiga_Bet365_ori_3_svm,0.4883446444378873,0.4911504424778761,0.42,0.6,0.49,0.13,0.23,0.89,0.2,0.33,0.63,N/A
LaLiga_Bet365_ori_3_knn,0.9997049277072882,0.515929203539823,0.45,0.47,0.59,0.46,0.47,0.58,0.46,0.47,0.59,5
LaLiga_Bet365_ori_3_nn,0.48362347,0.4920354,0.4,0.48,0.52,0.2,0.27,0.82,0.27,0.34,0.63,N/A
LaLiga_Bet365_alt_4_rf,0.9987397605545053,0.4919735599622285,0.44,0.6,0.68,0.59,0.41,0.65,0.5,0.49,0.67,N/A
LaLiga_Bet365_alt_4_svm,0.48802772526780086,0.4910292728989613,0.35,0.49,0.51,0.13,0.18,0.89,0.19,0.27,0.65,N/A
